2016-10-17 12:03:38 status half-installed php7.0-opcache:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:38 status unpacked php7.0-opcache:amd64 7.0.8-0ubuntu0.16.04.3
2016-10-17 12:03:38 status unpacked php7.0-opcache:amd64 7.0.8-0ubuntu0.16.04.3
2016-10-17 12:03:38 upgrade php7.0-fpm:amd64 7.0.8-0ubuntu0.16.04.2 7.0.8-0ubuntu0.16.04.3
2016-10-17 12:03:38 status half-configured php7.0-fpm:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:38 status unpacked php7.0-fpm:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:38 status half-installed php7.0-fpm:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:38 status triggers-pending ureadahead:amd64 0.100.0-19
2016-10-17 12:03:38 status half-installed php7.0-fpm:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:39 status unpacked php7.0-fpm:amd64 7.0.8-0ubuntu0.16.04.3
2016-10-17 12:03:39 status unpacked php7.0-fpm:amd64 7.0.8-0ubuntu0.16.04.3
2016-10-17 12:03:39 upgrade php7.0-cli:amd64 7.0.8-0ubuntu0.16.04.2 7.0.8-0ubuntu0.16.04.3
2016-10-17 12:03:39 status half-configured php7.0-cli:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:39 status unpacked php7.0-cli:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:39 status half-installed php7.0-cli:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:39 status half-installed php7.0-cli:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:39 status unpacked php7.0-cli:amd64 7.0.8-0ubuntu0.16.04.3
2016-10-17 12:03:39 status unpacked php7.0-cli:amd64 7.0.8-0ubuntu0.16.04.3
2016-10-17 12:03:39 upgrade php7.0:all 7.0.8-0ubuntu0.16.04.2 7.0.8-0ubuntu0.16.04.3
2016-10-17 12:03:39 status half-configured php7.0:all 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:39 status unpacked php7.0:all 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:39 status half-installed php7.0:all 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:39 status half-installed php7.0:all 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:39 status unpacked php7.0:all 7.0.8-0ubuntu0.16.04.3
2016-10-17 12:03:39 status unpacked php7.0:all 7.0.8-0ubuntu0.16.04.3
2016-10-17 12:03:39 upgrade php7.0-common:amd64 7.0.8-0ubuntu0.16.04.2 7.0.8-0ubuntu0.16.04.3
2016-10-17 12:03:39 status half-configured php7.0-common:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:39 status unpacked php7.0-common:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:39 status half-installed php7.0-common:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:39 status half-installed php7.0-common:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:39 status unpacked php7.0-common:amd64 7.0.8-0ubuntu0.16.04.3
2016-10-17 12:03:39 status unpacked php7.0-common:amd64 7.0.8-0ubuntu0.16.04.3
